"Species";"Gainers";"Losers"
"[Patawatermes sp. A TB-2017]";50;240
"[Humutermes krishnai]";51;239
"[Nasutitermes nr. perparvus TB-2014]";49;235
"[Nasutitermes longirostris]";47;237
"[Microcerotermes sp. SB TB-2017]";46;238
"[Nasutitermes longirostris]";47;239
"[Reticulitermes speratus kyushuensis]";43;244
"[Microcerotermes crassus]";42;223
"[Microcerotermes crassus]";42;223
"[Microcerotermes sp. COL2012-T09]";46;236
"[Sphaerotermes sp. A TB-2017]";50;239
"[Mastotermes darwiniensis]";48;213
"[Reticulitermes kanmonensis]";42;244
"[Microcerotermes crassus]";44;233
"[Microcerotermes parvus]";46;237
"[Anoplotermes group sp. AF TB-2017]";46;243
"[Byrsotria sp. B018]";52;203
"[Reticulitermes lucifugus]";46;244
"[Procornitermes araujoi]";44;227
"[Panchlora nivea]";59;202
"[Nauphoeta cinerea]";85;238
"[Glyptotermes sp. C TB-2014]";74;271
"[Diploptera punctata]";88;243
"[Periplaneta fuliginosa]";84;249
"[Leptomyxotermes doriae]";71;276
"[Blatta orientalis]";87;238
"[Bulbitermes nr. laticephalus THAI100]";69;251
"[Reticulitermes chinensis]";66;281
"[Polyzosteria viridissima]";83;240
"[Schultesia lampyridiformis]";91;223
"[Procapritermes sp. G TB-2017]";74;252
"[Reticulitermes kanmonensis]";68;279
"[Oriensubulitermes inanis]";72;249
"[Aparatermes nr. cingulatus G13-81]";72;244
"[Nasutitermes similis]";69;278
"[Nasutitermes similis]";69;257
"[Sinocapritermes sp. 1 TB-2017]";69;242
"[Neocapritermes sp. H TB-2017]";72;248
"[Havilanditermes proatripennis]";66;250
"[Inquilinitermes sp. BRA002]";67;247
"[Oriensubulitermes inanis]";72;249
"[Ectoneura hanitschi]";87;240
"[Oriensubulitermes inanis]";73;249
"[Nasutitermes sp. A TB-2017]";69;250
"[Opisthoplatia orientalis]";88;232
"[Pericapritermes nitobei]";70;247
"[Anoplotermes sp. BRA025]";72;244
"[Microcerotermes sp. AUS30]";70;253
"[Periplaneta australasiae]";80;244
"[Neostylopyga rhombifolia]";79;226
"[Havilanditermes atripennis]";66;249
"[Nasutitermes matangensis]";69;256
"[Periplaneta australasiae]";80;246
"[Anoplotermes parvus]";73;253
"[Glyptotermes sp. A TB-2014]";74;263
"[Aparatermes sp. A TB-2017]";72;247
"[Termes fatalis]";65;242
"[Reticulitermes hageni]";65;279
"[Reticulitermes sp. A TB-2016]";66;280
"[Termes fatalis]";65;242
"[Astratotermes sp. RDCT147]";72;245
"[Cephalotermes rectangularis]";69;257
"[Astratotermes sp. A TB-2017]";72;246
"[Reticulitermes flavipes]";65;280
"[Nasutitermes longinasus]";68;251
"[Mirocapritermes connectens]";72;247
"[Pericapritermes sp. 4 TB-2017]";72;255
"[Reticulitermes flaviceps]";66;277
"[Reticulitermes nelsonae]";65;277
"partial [Prorhinotermes simplex]";64;285
"[Astalotermes cf. qietus RDCT073]";75;245
"[Nasutitermes macrocephalus]";66;257
"[Noditermes cristifrons]";73;251
"[Panchlora nivea]";92;238
"[Astalotermes cf. quietus RDCT046]";75;243
"[Anoplotermes janus]";71;252
"[Anoplotermes group sp. AF TB-2017]";73;250
"[Procapritermes sp. A TB-2017]";72;244
"[Reticulitermes virginicus]";67;278
"[Araujotermes parvellus]";71;256
"[Cosmozosteria sp. B117]";82;233
"[Subulitermes sp. G712]";72;249
"[Humutermes krishnai]";71;246
"[Opisthoplatia orientalis]";87;243
"[Aciculitermes sp. T3.10f]";70;249
"[Noditermes lamanianus]";73;271
"[Pericapritermes nigerianus]";72;278
"[Opisthoplatia orientalis]";88;242
"[Nasutitermes sp. COL2012L08]";72;250
"[Microcerotermes sp. C TB-2017]";69;257
"[Nasutitermes longirostris]";69;255
"[Neocapritermes taracua]";73;253
"[Nasutitermes matangensis]";67;257
"[Alyscotermes kilimandjaricus]";75;245
"[Gyna caffrorum]";85;242
"[Nasutitermes longirostris]";69;253
"[Pycnoscelus indicus]";87;245
"[Nasutitermes sp. 1 TB-2017]";71;251
"[Reticulitermes flavipes]";65;278
"[Eurycotis decipiens]";86;224
"[Polyspathotermes sulcifrons]";69;253
"[Reticulitermes lucifugus]";66;280
"[Bulbitermes makhamensis]";68;255
"[Panchlora nivea]";92;232
"[Pericapritermes dolichocephalus]";72;254
"[Microcerotermes sp. F TB-2017]";69;263
"[Aparatermes sp. A TB-2017]";72;243
"[Nasutitermes sp. 3 TB-2017]";70;254
"[Phyllodromica sp. Phil]";10;41
"[Zootermopsis nevadensis]";7;51
"[Ectobius sp. Z254C]";11;40
"[Zootermopsis angusticollis]";7;52
"[Microtermes sp. BDIT051]";9;51
"[Cryptocercus kyebangensis]";8;48
"[Neotermes sp. A TB-2014]";9;49
"[Microtermes sp. B TB-2017]";6;49
"[Methana sp. AUS1]";10;44
"[Neotermes insularis]";8;48
"[Periplaneta americana]";12;44
"[Arenivaga sp. B097]";12;45
"[Therea olegrandjeani]";9;45
"[Eupolyphaga sp. NS-2016]";11;46
"[Eublaberus distanti]";9;40
"[Carbrunneria paramaxi]";11;44
"[Parcoblatta fulvescens]";12;41
"[Eupolyphaga sinensis]";11;42
"[Diploptera punctata]";10;39
"[Cryptocercus meridianus]";8;49
"[Microcerotermes nervosus]";11;46
"[Cryptocercus meridianus]";8;48
"[Archimandrita tessellata]";10;40
"[Hodotermopsis sjostedti]";8;49
"[Odontotermes sp. B TB-2017]";7;51
"[Macrotermes vitrialatus]";8;51
"[Paranauphoeta circumdata]";10;43
"[Rhabdoblatta sp. RHA]";10;42
"[Microcerotermes newmani]";11;46
"[Cryptocercus relictus]";8;50
"[Neostylopyga rhombifolia]";11;46
"partial [Periplaneta americana]";11;45
"[Ergaula capucina]";9;48
"[Blaberus discoidalis]";8;43
"[Odontotermes sp. C TB-2017]";6;50
"[Macrotermes sp. PHI4]";9;49
"[Parcoblatta bolliana]";13;40
"[Microcerotermes sp. C TB-2017]";12;47
"[Neostylopyga rhombifolia]";10;46
"[Therea petiveriana]";8;45
"[Macrotermes sp. A TB-2017]";9;51
"[Odontotermes sp. A TB-2017]";6;51
"[Odontotermes sp. BDIT9-1.3A]";6;52
"[Acanthotermes acanthothorax]";7;52
"[Odontotermes formosanus]";6;50
"[Odontotermes longignathus]";6;49
"[Asiablatta kyotensis]";12;43
"[Microcerotermes baluchistanicus]";11;48
"[Tuberculitermes bycanistes]";9;47
"[Therea regularis]";8;46
"[Allodontermes schultzei]";7;51
"[Pycnoscelus nigra]";10;44
"[Hypotermes makhamensis]";6;50
"[Microcerotermes sp. 3 TB-2017]";10;47
"[Odontotermes minutus]";6;48
"[Microcerotermes sp. I TB-2017]";10;46
"[Microcerotermes progrediens]";10;48
"[Blaberus peruvianus]";9;43
"[Odontotermes sp. K TB-2017]";6;50
"[Macrotermes gilvus]";8;49
"[Macrotermes sp. B TB-2017]";8;52
"[Microcerotermes sp. G TB-2017]";11;47
"[Symploce macroptera]";11;42
"[Odontotermes javanicus]";6;50
"[Microcerotermes sp. SA TB-2017]";10;48
"[Odontotermes sp. 10 TB-2017]";6;49
"[Microcerotermes sp. E TB-2017]";11;48
"[Odontotermes obesus]";6;50
"[Ectobiidae sp. BB]";11;42
"[Microtermes sp. RDCT048]";8;50
"[Periplaneta fuliginosa]";10;45
"[Microtermes obesi]";8;48
"[Macrotermes subhyalinus]";9;53
"[Microcerotermes parvus]";10;48
"[Amitermes sp. 5 TB-2017]";10;46
"[Microcerotermes havilandi]";10;48
"[Microcerotermes sp. COL2012-T09]";9;48
"[Microtermes sp. C TB-2017]";8;49
"[Procubitermes undulans]";9;47
"[Shelfordella lateralis]";11;46
"[Odontotermes hainanensis]";6;49
"[Amitermes sp. 4 TB-2017]";10;47
"[Odontotermes sp. D TB-2017]";6;49
"[Microtermes sp. A TB-2017]";8;50
"[Neolaxta sp. B107]";8;42
"[Amitermes sp. E TB-2017]";10;47
"[Periplaneta australasiae]";10;47
"[Therea regularis]";49;53
"[Ectobius sp. Z254C]";43;50
"[Therea olegrandjeani]";45;53
"[Pycnoscelus sp. B103]";40;51
"[Therea petiveriana]";48;53
"[Melanozosteria sp. Cairns";55;71
"";NA;NA
"[Periplaneta fuliginosa]";42;51
"[Protagonista lugubris]";37;51
"[Porotermes adamsoni]";44;52
"[Ergaula capucina]";45;50
"[Microhodotermes viator]";49;41
"[Pycnoscelus nigra]";42;52
"[Arenivaga sp. B097]";38;53
"[Eupolyphaga sinensis]";40;54
"[Eupolyphaga sinensis]";38;54
"[Blatta orientalis]";40;49
"[Pycnoscelus indicus]";42;52
"[Phyllodromica sp. Phil]";44;49
"[Cryptocercus meridianus]";50;45
"[Gromphadorhina portentosa]";44;59
"[Polyphaga plancyi]";45;52
"[Gromphadorhina sp. B040]";43;58
"[Cryptocercus meridianus]";48;45
"[Cosmozosteria sp. B117]";43;49
"[Neostylopyga rhombifolia]";40;47
"[Neostylopyga rhombifolia]";42;48
"[Periplaneta australasiae]";42;51
"[Periplaneta australasiae]";43;50
"[Parcoblatta pensylvanica]";37;57
"[Pycnoscelus femapterus]";41;50
"[Pycnoscelus surinamensis]";42;51
"[Periplaneta americana]";42;50
"[Aeluropoda insignis]";40;60
"[Shelfordella lateralis]";40;48
"[Shelfordella lateralis]";41;48
"[Anaplecta omei]";45;55
"[Glyptotermes sp. C TB-2014]";44;44
"[Glyptotermes sp. B TB-2014]";45;50
"[Periplaneta brunnea]";44;47
"[Periplaneta brunnea]";45;47
"[Parcoblatta divisa]";40;57
"[Neolaxta sp. B107]";36;61
"[Eupolyphaga sp. NS-2016]";41;53
"[Methana sp. AUS1]";41;51
